X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
206,3,12 31  13134144121123233111 5 6 5 6 6 6 4 6 6 6 6 62  2   3 6 3 3 5 4 6 5 7 7 5 41112113112111 9,2,1 8,211111 11 1      112111111444114243263253111,WA,1050148190127600219P,1,1,4.904
206,1,12  2  191144443 1223838333 7 898989898 998 8 8 8 88  2  97 798 598 79898 7 7989733112222992,NA,2,221111 12 1      3 2111111333322333236795111,WA,1050148190127600219P,1,NA,12.914
207,1,21  1  939294553 96        9797979797979797979797102  1 6 5 8 3 3 3 3 898 9 9 5 544211112192,NA,2,222212122 22     29311911122112224323368512,ME,161203552207    531E,1,NA,18.331
207,1,12  2  22124444121633832833 698 6 597 5 4 8 8 898 62  2   5989798 6 5 598 6 698 54342113313116,NA,2,999999 99 2      21211111144443444323373512,ME,123075500080    531E,1,NA,21.131
207,1,12  2  131334553 99 9333333 2 9 7 5 5 6 2 8 810 6 41121 4 310 6 1 5 2 3 5 6 8 5 443211139112,NA,2,222222 2221      11211211144442444226777512,ME,357155537155    541E,1,NA,9.611
207,1,22  2  131144443 1133323333 5 5 5 5 5 5 5 5 5 5 5 52  2   3 5 5 5 5 5 3 5 5 5 5 544433333332,NA,2,222122 21 2      24311111144422444325273512,ME,1230755000806403121E,1,NA,24.871
207,1,11  1  111334553 96         5 7 5 4 5 4 4 4 4 5 5 52  8   4 5 4 3 4 4 4 4 4 4 4 444433113332,NA,2,121122211 22     142111111444444443133875111,ME,3571555371550733231E,1,NA,21.131
207,1,12  1  13123445121023333133 6 6 6 4 5 4 5 5 6 7 8 61 91 4 6 8 6 5 797 7 6 7 6 7 543321221112,NA,2,222122 11 2      14311111123331324326263512,ME,1230755000806403221E,1,NA,15.961
208,1,21  2  2311934412 929223131 7 7 4 4 497 51010 8 897110196 6 7 2 4 5 1 39797 7 5 63221232222111,NA,2,221112122 11161314 111111131221334327547512,ID,4451337571271080338M,1,NA,15.184
208,1,22  1  232234331297 3222233 2 2 1 5 9 297 2 2 2 5 22  1 5 2 2 2 2 2 297 2 2 2 2 231911113111 5 2,NA,2,112992 22 1      4 211111143441114323191512,ID,295157758168    538M,1,NA,22.584
208,1,22  2  912232229 99 8882888 5 5 5 1 5 1 5 5 5 5 5 58  8  10101010101010101010101044439133312,NA,2,222112 21 1      3 411111144444444113581512,ID,295157758168    538M,1,NA,25.004
208,1,12  2  2122222211 922233299 1 2 1 1 1 1 1 1 1 2 3 12  1 499999999999999999999999911211212132,NA,2,121121 11 1      4 222222241411431926997542,ID,295157758168    548M,1,NA,4.134
208,1,12  1  131133333  433213333 4 6 5 3 5 4 3 6 6 7 6 41101 4 2 7 5 2 3 3 2 2 6 7 5 443421233112,NA,1 4,121122 11 2      23311111144441414123188512,ID,293201760190    548M,1,NA,11.154
208,1,12  1  231131443  723113133 910 7 8 5 7 7 81010 8 81101 61010 7 7 79710101010 7 744421122211 3,NA,1 4,111111 11 1      132111111444444443261945111,ID,293201760190    548M,1,NA,18.104
208,1,22  2  291144443  433232133 7 8 5 6 6 5 8 5 5 7 8 51102   5 9 2 1 4 3 5 3 6 5 4 333311231211 1,NA,1 7,211212 11 1      114111111342423342252035111,ID,337080881073    548P,1,NA,18.064
209,1,12  2  931392229  4222238289798989898989898989898988  2  98989897989898989898989844431333332,NA,9,222222 2229      4 999999933333434926999519,CA,0710568660552840129P,1,NA,11.644
209,1,11  1  112129443  431132183 810 7 81098 510101010 51 11 3 5 5 5 3 5 397 5 5 5 5 523411313212,NA,2,121122111 22     113111111423424241233115111,CA,0670198620208120129P,1,NA,11.634
209,1,12  2  231292231315122232229797 7 6 5979710 910 6 38  8   210 1 4 1 1 9 3 1 8 4 644321112222,NA,118,222222 21 1      24311111144311344325219142,CA,0670198620208120129P,1,NA,2.374
209,3,21 22  32222444111713213332 7 6 710 8 7 8 9 8 8 8 81 8110 7 6 810 7 8 7 9 9 9 8 942113111112,NA,2,222112211 29     4 312111144343434913216212,CA,0670198620205170129P,1,2,5.194
209,1,12  332,NA,NA,999999 999                          739 52,CA,0670198620205170229P,1,NA,3.394
209,1,22  2  2112224412 422222122 6 7 6 4 6 4 4 6 6 6 6 62  2   7 5 4 4 4 4 4 5 4 4 5 433221113122,NA,2,121192 12 1      212111111442424441231875111,CA,0710568660558780129P,1,NA,15.034
209,1,12  1  2222113412 922222122 510 8 9 9 2 2 7 8 8 8 22  2   210 2 2 2 5 5 2 5 5 2 233421133112,NA,2,121111 11 1      23311111133312443313195112,CA,0710568660558780129P,1,NA,7.344
209,1,21  2  2122324413 423223332 5 5 5 5 5 5 5 5 5 5 5 58  2   5989798979898979798989833311221112,NA,2,221912121 29     14211111144424444924407512,CA,0670198620208120229P,1,NA,14.434
209,1,21  2  2322222412 322322382 197 1 3 1 1 1 1 9 9 7 52  1 6 7 9 3 4 5 3 7 5 5 5 5 541131121132,NA,2,221212111 21111314 321192942422444223419512,CA,0670198620205170229P,1,NA,14.434
209,3,12 131 131144413  423333113 9 8 7 9 1 8 7 19999 1 12  2   4 7 4 497 39797 5 4 3 244421132222,NA,9,211121 11 2      192111111433424443 42341411,CA,0710568660552840229P,1,3,1.124
209,1,21  1  2122222213 922222222 2 4 3 1 1 1 1 3 3 2 2 12  1 5 3 5 5 1 5 3 3 4 5 5 5 411111322112,NA,1 5,211122111 21 522314122222243332444325459512,CA,0710568660552840229P,1,NA,17.184
210,1,21  1  221122223  43332333397 4 51097 6 597979897972  1 6 5 3 4 897 6 69797 597 544431111121 6,NA,2,221122211 21 43334 411111144441114322531142,TX,2710366410387240127C,1,NA,4.763
210,1,12  2  131144443  4213331881010 510 9 9 8 91010 8 8196196 5 9 2 6 4 5 5 6 8 8 3 544411333132,NA,9,929121 11 9      212111111443433342244534411,TX,2710366410387240127C,1,NA,1.723
210,3,12 11  221243443  433232323 5 9 5 6 4 3 2 610 9 8 51101 4 1 8 4 1 4 1 4 8 3 2 3 313311112111 4,NA,2,121112 11 1      24311111132221224213202142,TX,4351146361041240137C,1,3,1.003
210,1,21  1  2312222411 422222323 3 5 6 1 2 1 2 3 4 4 4 41 11 1 4 5 3 1 4 1 3 6 6 6 5 411211113112,NA,2,221212111 21 133314311111144441444925505142,TX,4351146361041240137C,1,NA,2.253
210,3,12 1321113121113  433888883 4 8 4 5 5 3 3 498 8 5 38  8  9797 1 1 1 19797 5 7 4 144411111112,NA,9,229212 11 2      143221222444434442 1551142,TX,4351146361044880227C,1,3,7.103
210,3,22 21  9391232211 422233333 598 3 3979897 2 5 5 5 52  2   898989898989898 9 998 544831333112,NA,1 4,222122 22 2      4 211111124442444423474242,TX,2710366410387240127C,1,3,1.243
210,3,22 11  3333332212 438222121 5 597 9 6 5 797979897978  8   510 7 1 1 1 197 8 9979744499999991 4,NA,1 4,111112 11 2      132111111999999993162651112,TX,2710366410387240127C,1,2,2.123
210,3,22 11  2312222412 422223323 8 9 5 5 7 6 4 5 897 6 71 21 4 810 8 7 5 8 9 9 9 8 6 932411333132,NA,2,121121 11 1      3 121211144441444226635112,TX,2710366410387240127C,1,2,1.523
210,1,12  2  911144449  493833833 6 7 6 6 5 6 6 5 5 6 7 58  2   5 6 5 5 5 5 5 5 5 5 6 534321222212,NA,2,221122 11 2      3 211111144444444323654512,TX,2710366410387240327C,1,NA,18.493
210,3,12 42  2322223411 432223333 8 5 7 3 3 3 3 3 9 8 5 61 11 41010 510 5 5 2 4 4 7 3 322321113112,NA,1 4,111111 11 1      23411111133331334222186412,TX,4351146361044880127C,1,3,7.283
210,1,22  1  131144343  421131113 8 8 7 9 9 9 8 8 6 6 8 72  2  9797 3 997 3979797 397 344411112222,NA,111,111111 11 2      112111111428224242263061411,TX,4351146361044880127C,1,NA,1.003
210,1,12  2  2213344412 423323333 5 597 6 5 5 5 5 5 5 5 52  8  979897 3 3 3 2989898989844421222212,NA,2,122122 21 2      3 311111133331333215534212,TX,2710366410387240127C,1,NA,9.523
210,1,12  2  231144443  923121111979797 7979797 897 897971 1196 8 7 6 4 4 4 39797 697 644411333112,NA,2,111112 11 1      112211111444434441235055111,TX,271036641038    547C,1,NA,16.193
210,1,11  2  1312141412 423322113 3 3 4 9 7 3 2 4 2 2 4 31 8196 2 1 2 3 4 1 4 2 1 1 3 544421212121 4,NA,2,112112111 12     133111111444422142253044411,TX,2710366410387240127C,1,NA,1.793
210,1,12  1  911129291298 2221811 510 1 8 51010 5 5 5 5 52  8   1 1 110 1 1 1 1 1 1 1 111219131212,NA,2,222222 2212      3 322222222222322323693512,TX,2710366410387240127C,1,NA,12.303
210,1,12  1  2122222212 932222222 8 4 8 8 7 7 7 8 8 8 8 82  1 4 6 6 5 6 6 6 7 5 6 6 6 722211111212,NA,2,221212 11 2      3 322222232213442226768512,TX,4351146361044880127C,1,NA,7.213
210,1,22  2  231124443  423233323 7 7 4 7 7 7 7 5 5 5 7 51101 3 3 6 2 4 5 4 4 5 6 6 6 534431133132,NA,2,212112 11 1      14311111144442444323225412,TX,2710366410387240127C,1,NA,6.553
210,3,22 11  2133222211 923223333 597 2 5 59797 1 3 3 3 31 91 3 5 9 2 1 3 1 4 7 4 4 4 432431311112,NA,2,222221 21 2      143111111144414442255591411,TX,2710366410387240127C,1,3,2.423
210,1,21  1  131144949 1811222388 6 398 5 5 3 6 1 1 3 1 31962  989898 198 197 1 1 1 1984443133323116,NA,2,212992119 12     11411111144442444223304442,TX,271036641038    547C,1,NA,2.343
210,1,12  322,NA,NA,999999 999                          220 14,TX,4351146361044880227C,1,NA,2.673
210,1,12  2  3122244412 432182223 710 6 3 4 5 8 1 9 9 8 91 21 1 810 4 7 5 5 7 3 4 3 3 444221112112,NA,1 4,211112 11 1      133111111222444243132521411,TX,4351146361044880227C,1,NA,1.313
212,3,11 4332,NA,NA,9999999999                          638 44,NY,0090015010015600112E,1,3,1.001
212,1,22  2  93133222111092222322 3 3 3 3 3 3 3 3 3 3 3 38  198 5 5 5 5 5 5 5 5 5 5 5 522113111111 5,NA,2,999999 99 1      9 3999999444418241269935112,NY,0090015010015600112E,1,NA,3.601
212,1,12  31 331131411197 1223113 8 6 8 8 9 8 9 8 8 8 8 81 42   5 2 2 4 4 2 2 2 2 8 2 344433333311 7,NA,1 1,111111 11 1      123111111444414443 5193412,NY,0090015010015600112E,1,NA,2.031
212,1,22  1  13111111121231832113 8 9 5 8 8 7 6 7 7 9 9 91102   3 7 1 2 3 2 2 3 2 4 3 444399999991 5 8,4,118,211122 11 1      143111111443414442274045111,NY,0090015010015600112E,1,NA,3.371
212,1,22  3213111411113 821331111 8 8 8 8 8 8 8 8 8 8 8 81 92  9810 5 4 5 6 6 6 810 6 644421222212,NA,2,211122 11 1      112111111444444443 6284512,NY,0090015010015600112E,1,NA,5.041
212,1,12  2  331111113  823333132 7 6 6 8 8 6 8 8 7 8 8 71122   4 5 3 4 4 4 4 5 5 3 4 444411131222,NA,1 7 1,221191 11 1      133111111444423443275055111,NY,0090015010015600112E,1,NA,4.791
212,1,11  2  1212411113 731323112 6 1 6 6 6 5 5 6 1 6 6 62  2   5 5 5 5 6 1 5 5 5 5 5 511113112331 4,NA,1 6,111211111 11 422213311111144431121325354512,NY,0090015010015600112E,1,NA,7.401
212,1,12  1  231344443 1723333333 6 8 5 6 7 4 7 5 5 7 7 71101 3 5 7 4 4 5 4 5 5 6 5 5 54331113111112,NA,118,111111 11 1      112111111444414441152745111,NY,0090015010015600112E,1,NA,5.421
212,1,22  2  3213222211 322212323 810 197 597 5 5 8 997971968  97109797 197 5979797979744111123311 310,2,1 9 8,111111 11 1      12111111144441444327525512,NY,0090015010015600112E,1,NA,3.491
212,1,11  1  3322322211 9223313331010101010101010101010101 62  10101010101010101010101044433333332,NA,2,111111111 11 611111111111111111111116499542,NY,0090015010015600112E,1,NA,1.131
212,1,22  2  1211111113 931133131 5 5 5 5 5 5 5 5 5 5 5 51 11 6 5 7 3 5 4 397 397 5 5 334321122121 8,NA,1 1,911112 11 1      11211111144443334325244512,NY,0090015010015600112E,1,NA,6.251
212,1,22  2  231222242  923233332 5 5 5 3 3 5 5 5 5 5 5 51121 4 4 9 1 3 3 4 2 3 3 597 332422233131 7,NA,1 5,221121 12 2      6 322121244432434226211522,NY,0090015010015600112E,1,NA,1.001
212,1,29  999,NA,NA,999999 999                          999 99,NY,0090015010015600112E,1,NA,4.881
212,1,12  1  2392222211 922222323 5 9 5 2 2 7 7 3 7 7 9 32  1 9979797 9 79797979797979744411123222,NA,9,221122 12 2      3 422999944241244315479922,NY,0090015010015600112E,1,NA,3.491
212,1,11  2  133144552 96         4 7 6 4 5 5 597 6 5 7 82  2   5 7 6 7 7 3 4 7 6 8 6 644412212121 2,NA,1 8,212112111 12     13211111143431444325359512,NY,0090015010015600112E,1,NA,7.401
212,1,12  1  3311111113 4931221219797 5 5 5 5 597979797971962  97 8 1 2 297 197979797 144433132131 7,NA,1 7,111111 11 1      113111111444434442152434411,NY,0090015010015600112E,1,NA,1.001
212,1,12  1  3331222411 42383313897 797 79797 8 8 99797 81 91 4 1 5 1 1 1 1 1 1 1 1 1 144411111112,NA,2,111122 11 1      113111111944944442252845111,NY,0090015010015600112E,1,NA,5.421
212,1,22  31 231111113  4213133131010 4109710 810 9 910102  1 7 310 1 6 3 8 5 8 910 8 744421111222,NA,1 4,111121 11 1      143111111444433441 73055311,NY,0090015010015600112E,1,NA,1.191
212,1,12  2  2131444411 123883111 8 8 5 8 8 5 810 8 8 8 81 12   510 5 5 8 5 1 5 7 8 5 844423113111 7,NA,111,111121 11 1      144111111422222429275465211,NY,0090015010015600112E,1,NA,1.001
212,1,12  2  122243551396         7 8 7 79797 6979797 4971 51 1 9 9979797 397979797 9 948423223231 2 7,NA,1 5,211111 11 1      3 1111111444444442277465111,NY,0090015010015600112E,1,NA,2.631
212,1,12  1  2332424211 31233211210 9 1 6 5 810 1 7 7 7 71101 3 11098 2 5 3 1 5 7 9 7 934421112311 1 2,7,1 716,221112 12 1      192111111244114243281965411,NY,0090015010015600112E,1,NA,1.001
212,1,21  31 9313191911 431322131 9 9 2 9 9 8 9 5 9 9 8 88  1 3 9 9 1 8 8 5 8 7 8 8 7 732311322131 7 4,5,1 4 5,111111111 11 73334 4111111444413242 5311442,NY,0090015010015600112E,1,NA,1.121
212,3,22 231 9911119419 523383118 8 997 9 9 797 6 79797971961 59898 89810 698979898979844499999991 4 5,NA,2,999999 99 2      3 2911111844484442 6655242,NY,0090015010015600112E,1,2,1.001
212,1,11  1  23222222111213332123 5 8 2 2 2 5 2 3 5 7 7 31 21 7 2 9 1 4 3 1 5 7 2 7 4 121431133312,NA,1 7,211111112 21 7131194222222424414442154242111,NY,0090015010015600112E,1,NA,6.851
212,1,22  332,NA,NA,999999 999                          651 51,NY,0090015010015600112E,1,NA,3.491
213,1,22  31 3311443412 422823322 4 5 6 6 4 5 5 5 6 6 5 61 92   4 4 5 7 6 6 5 6 5 5 6 622232331111 5,NA,1 4,121222 11 1      213222222444214342 6242442,CA,0130028030024480119P,1,NA,1.004
213,1,12  1  1111111113 912133123 3979710 19797 1 2 497 11 42   5979710 4 3 497 3 497 443312113112,NA,1 4,221122 11 1      4 3111111444334342231875211,CA,0130028030024480119P,1,NA,1.004
213,1,22  332,NA,NA,999999 999                          321 14,CA,0130028030024480119P,1,NA,1.224
213,1,11  2  1121241412 418822233 89797 5 5979797 1 1 7 71 12  1010 8 6979710971010971044412133131 4,NA,2,122122111 22     4 499291914211123223281142,CA,0130028030024480219P,1,NA,1.044
213,1,22  1  1311111112 931233111 910 7 9 997 9 910 9 8101102   710 6 6 79797 7 9 997 844211112211 512,NA,111 5,111111 11 1      233111111343434441262255111,CA,0130028030024480119P,1,NA,5.514
213,3,21 41  2311223311 422222323 2 8 8 3 1 5 2 8 8 8 7 51121 4 5 210 1 2 1 2 8 8 8 7 522213311111 4,NA,2,999999999 21 42224 311111142421444215453442,CA,0130028030024480119P,1,3,2.814
213,1,22  31 13114344111733333333 5 5 5 5 5 5 5 5 5 5 5 52  1 4 2 8 5 2 3 3 2 4 2 298 23342323312112,NA,112,211112 11 2      113111111331333343 7235532,CA,0130028030024480119P,1,NA,1.304
213,1,12  333,NA,NA,999999 999                          736 14,CA,0130028030024480119P,1,NA,1.004
213,1,12  1  131213551296         3 1 8 1 3 1 2 1 3 1 1 51 42   2 1 7 8 2 8 1 1 2 6 1 741121211111 4,NA,2,212212 21 1      12222122121111222126479542,CA,0130028030024480119P,1,NA,1.344
213,1,12  1  2213111111172212311397 597979797979797979797196196 8 6 4 4 6 5 5 5 7 6 7 644221321332,NA,112,211111 11 1      113111111443414441263865111,CA,0130028030024480119P,1,NA,5.554
213,1,21  321391229499 97 22323229810101010 1 11010 110 91988  97 1101098101010 11098 14431939129118,NA,2,122222122 29     242122191333384443 23081111,CA,0130028030024480119P,1,NA,20.524
213,1,21  2  131111122  412283133 7 9 3 8 9 7 7 1 6 9 5 91 51 9 197 5 4979797979797979742431321231 5,NA,2,112122221 12     13422211144141342326252442,CA,0130028030024480219P,1,NA,1.004
213,3,21 11  3111222211 432822222 7 1 7 5 7 1 3 5 6 6 6 42  1 4 9 1 9 8 8 5 2 310 9 7 742412222212,NA,2,111221122 29     6 3111111144422443132211411,CA,0130028030024480219P,1,3,1.914
213,1,12  1  1311111111 931233113 8 7 8 8 8 8 8 7 6 7 9 82  2   5 8 2 2 3 9 4 498 798 433411221112,NA,1 5,121111 11 1      143111111434334442272955111,CA,0130028030024480119P,1,NA,5.154
213,1,12  31 2311112212 5233333339797 8 81010 7 7 7 9 7 81 72   6 9 5 5 4 5 6 5 6 8 6 644431313131 4,NA,2,999999 99 1      113111111444444442 3322112,CA,0130028030024480119P,1,NA,4.404
